Date,Year,Pass,Site,FishNo,Species,Length,Weight,ScaleAge
10/16/13,2013,3,L23,7,RB,342,415,2
10/12/13,2013,2,L22,9,RB,358,457,3
10/7/13,2013,1,L17,1,RB,240,156,1
10/7/13,2013,1,L28,1,RB,418,657,4
10/8/13,2013,1,L27,7,RB,324,383,2
10/17/13,2013,0,L34,7,RB,333,399,3
10/8/13,2013,1,L11,5,RB,234,159,1
10/24/13,2013,5,L07,3,RB,391,673,3
10/11/13,2013,2,L16,12,RB,201,NA,1
10/20/13,2013,4,L11,6,RB,361,467,4
10/11/13,2013,2,L01,3,RB,257,211,1
10/18/13,2013,0,L52,8,RB,380,666,3
10/24/13,2013,5,L22,8,RB,253,170,1
10/16/13,2013,3,L19,7,RB,157,42,0
10/24/13,2013,5,L23,2,RB,229,129,1
10/17/13,2013,0,L43,2,RB,233,134,1
10/18/13,2013,0,L32,5,RB,227,137,1
10/17/13,2013,0,L50,3,RB,414,876,7
10/18/13,2013,0,L33,16,RB,156,49,0
10/15/13,2013,3,L28,8,RB,247,166,1
10/12/13,2013,2,L10,12,RB,227,145,1
10/18/13,2013,0,L41,2,RB,228,204,1
10/8/13,2013,1,L26,2,RB,395,999,4
10/18/13,2013,0,L48,5,RB,315,335,2
10/12/13,2013,2,L23,10,RB,207,93,1
10/8/13,2013,1,L07,9,RB,252,194,1
10/18/13,2013,0,L52,5,RB,356,712,2
10/15/13,2013,3,L16,6,RB,238,167,1
10/17/13,2013,0,L34,20,RB,236,149,1
10/20/13,2013,4,L02,3,RB,334,431,2
10/8/13,2013,1,L19,12,RB,241,154,1
10/17/13,2013,0,L35,7,RB,229,134,1
10/18/13,2013,0,L37,9,RB,213,103,1
10/8/13,2013,1,L22,18,RB,174,69,1
10/17/13,2013,0,L31,13,RB,223,141,1
10/11/13,2013,2,L04,1,RB,239,145,1
10/24/13,2013,5,L02,4,RB,345,455,3
10/11/13,2013,2,L08,7,RB,336,NA,2
10/12/13,2013,2,L11,11,RB,331,431,2
10/12/13,2013,2,L19,9,RB,230,150,1
10/18/13,2013,0,L49,16,RB,367,692,3
10/16/13,2013,3,L22,6,RB,258,196,1
10/8/13,2013,1,L19,20,RB,84,6,0
10/18/13,2013,0,L32,2,RB,364,509,2
10/20/13,2013,4,L22,12,RB,266,241,1
10/24/13,2013,5,L03,1,RB,230,152,1
10/18/13,2013,0,L48,6,RB,227,156,1
10/18/13,2013,0,L33,7,RB,232,146,1
10/18/13,2013,0,L48,7,RB,230,152,1
10/12/13,2013,2,L10,10,RB,232,147,1
10/17/13,2013,0,L46,7,RB,224,140,1
10/15/13,2013,3,L08,4,RB,270,232,1
10/15/13,2013,3,L08,3,RB,370,517,3
10/12/13,2013,2,L23,5,RB,267,252,1
10/15/13,2013,3,L04,2,RB,229,151,1
10/20/13,2013,4,L19,3,RB,363,584,3
10/24/13,2013,5,L19,3,RB,248,184,1
10/11/13,2013,2,L12,5,RB,328,NA,2
10/8/13,2013,1,L23,7,RB,231,151,1
10/8/13,2013,1,L02,3,RB,309,294,2
10/8/13,2013,1,L11,8,RB,394,599,3
10/8/13,2013,1,L19,10,RB,232,157,1
10/24/13,2013,5,L10,2,RB,285,247,2
10/11/13,2013,2,L20,6,RB,240,NA,1
10/20/13,2013,4,L15,4,RB,261,228,1
10/11/13,2013,2,L28,6,RB,232,NA,1
10/7/13,2013,1,L25,2,RB,353,537,2
10/11/13,2013,2,L04,2,RB,163,51,0
10/8/13,2013,1,L06,3,RB,369,575,3
10/12/13,2013,2,L26,2,RB,260,211,1
10/18/13,2013,0,L49,12,RB,388,727,3
10/24/13,2013,5,L06,3,RB,102,12,0
10/7/13,2013,1,L16,3,RB,242,189,1
10/8/13,2013,1,L23,2,RB,180,57,1
10/12/13,2013,2,L11,7,RB,244,182,1
10/11/13,2013,2,L01,5,RB,391,723,3
10/8/13,2013,1,L19,18,RB,85,14,0
10/18/13,2013,0,L33,11,RB,232,150,1
10/16/13,2013,3,L10,4,RB,267,231,1
10/23/13,2013,5,L05,1,RB,388,629,4
10/8/13,2013,1,L15,1,RB,225,138,1
10/8/13,2013,1,L22,14,RB,341,445,2
10/16/13,2013,3,L22,24,RB,215,111,1
10/7/13,2013,1,L01,9,RB,265,206,1
10/8/13,2013,1,L07,1,RB,290,298,1
10/12/13,2013,2,L19,11,RB,215,112,1
10/15/13,2013,3,L04,1,RB,255,185,1
10/7/13,2013,1,L04,2,RB,360,505,3
