Date ,Time,Calispell Cr Temp C),Smalle Cr Temp C),Winchester Cr Temp (C)
1/11/10,3:01:00 AM,NA,NA,NA
1/11/10,3:01:00 PM,NA,NA,NA
1/11/10,4:01:00 AM,NA,NA,NA
1/11/10,4:01:00 PM,NA,NA,NA
1/11/10,5:01:00 AM,NA,NA,NA
1/11/10,5:01:00 PM,NA,NA,NA
1/11/10,6:01:00 AM,NA,NA,NA
1/11/10,6:01:00 PM,NA,NA,NA
1/11/10,7:01:00 AM,NA,NA,NA
1/11/10,7:01:00 PM,NA,NA,NA
1/11/10,8:01:00 AM,NA,NA,NA
1/11/10,8:01:00 PM,NA,NA,NA
1/11/10,9:01:00 AM,NA,NA,NA
1/11/10,9:01:00 PM,NA,NA,NA
1/11/11,1:01:00 AM,NA,-0.03,-0.12
1/11/11,1:01:00 PM,NA,-0.03,-0.12
1/11/11,10:01:00 AM,NA,-0.03,-0.12
1/11/11,10:01:00 PM,NA,-0.03,-0.12
1/11/11,11:01:00 AM,NA,-0.03,-0.12
1/11/11,11:01:00 PM,NA,-0.03,-0.12
1/11/11,12:01:00 AM,NA,-0.03,-0.12
1/11/11,12:01:00 PM,NA,-0.03,-0.12
1/11/11,2:01:00 AM,NA,-0.03,-0.12
1/11/11,2:01:00 PM,NA,-0.03,-0.12
1/11/11,3:01:00 AM,NA,-0.03,-0.12
1/11/11,3:01:00 PM,NA,-0.03,-0.12
1/11/11,4:01:00 AM,NA,-0.03,-0.12
1/11/11,4:01:00 PM,NA,-0.03,-0.12
1/11/11,5:01:00 AM,NA,-0.03,-0.12
1/11/11,5:01:00 PM,NA,-0.03,-0.12
1/11/11,6:01:00 AM,NA,-0.03,-0.12
1/11/11,6:01:00 PM,NA,-0.03,-0.12
1/11/11,7:01:00 AM,NA,-0.03,-0.12
1/11/11,7:01:00 PM,NA,-0.03,-0.12
1/11/11,8:01:00 AM,NA,-0.03,-0.12
1/11/11,8:01:00 PM,NA,-0.03,-0.12
1/11/11,9:01:00 AM,NA,-0.03,-0.12
1/11/11,9:01:00 PM,NA,-0.03,-0.12
1/11/12,1:26:15 AM,0.45,-0.1,-0.05
1/11/12,1:26:15 PM,0.77,0.05,-0.05
1/11/12,1:56:15 AM,0.45,0.05,0.1
1/11/12,1:56:15 PM,0.77,0.05,-0.05
1/11/12,10:26:15 AM,0.29,0.05,-0.05
1/11/12,10:26:15 PM,0.29,-0.1,-0.05
1/11/12,10:56:15 AM,0.29,0.05,-0.05
1/11/12,10:56:15 PM,0.29,-0.1,-0.05
1/11/12,11:26:15 AM,0.29,0.05,-0.05
1/11/12,11:26:15 PM,0.29,-0.1,-0.05
1/11/12,11:56:15 AM,0.45,0.05,-0.05
1/11/12,11:56:15 PM,0.29,-0.1,-0.05
1/11/12,12:26:15 AM,0.45,0.05,-0.05
1/11/12,12:26:15 PM,0.45,0.05,-0.05
1/11/12,12:56:15 AM,0.45,0.05,-0.05
1/11/12,12:56:15 PM,0.61,0.05,-0.05
1/11/12,2:26:15 AM,0.45,0.05,0.1
1/11/12,2:26:15 PM,0.77,0.05,-0.05
1/11/12,2:56:15 AM,0.45,0.05,0.1
1/11/12,2:56:15 PM,0.77,0.05,-0.05
1/11/12,3:26:15 AM,0.45,0.05,0.1
1/11/12,3:26:15 PM,0.77,0.05,-0.05
1/11/12,3:56:15 AM,0.29,-0.1,0.1
1/11/12,3:56:15 PM,0.61,0.05,-0.05
1/11/12,4:26:15 AM,0.29,-0.1,0.1
1/11/12,4:26:15 PM,0.61,0.05,-0.05
1/11/12,4:56:15 AM,0.29,-0.1,0.1
1/11/12,4:56:15 PM,0.45,0.05,-0.05
1/11/12,5:26:15 AM,0.29,-0.1,-0.05
1/11/12,5:26:15 PM,0.45,0.05,-0.05
1/11/12,5:56:15 AM,0.29,-0.1,-0.05
1/11/12,5:56:15 PM,0.45,0.05,-0.05
1/11/12,6:26:15 AM,0.29,0.05,-0.05
1/11/12,6:26:15 PM,0.45,0.05,-0.05
1/11/12,6:56:15 AM,0.29,-0.1,-0.05
1/11/12,6:56:15 PM,0.45,0.05,-0.05
1/11/12,7:26:15 AM,0.13,0.05,-0.05
1/11/12,7:26:15 PM,0.45,0.05,-0.05
1/11/12,7:56:15 AM,0.13,0.05,-0.05
1/11/12,7:56:15 PM,0.45,0.05,-0.05
1/11/12,8:26:15 AM,0.13,0.05,-0.05
1/11/12,8:26:15 PM,0.45,0.05,-0.05
1/11/12,8:56:15 AM,0.13,0.05,-0.05
1/11/12,8:56:15 PM,0.45,-0.1,-0.05
1/11/12,9:26:15 AM,0.13,0.05,-0.05
1/11/12,9:26:15 PM,0.29,0.05,-0.05
1/11/12,9:56:15 AM,0.13,0.05,-0.05
1/11/12,9:56:15 PM,0.29,-0.1,-0.05
1/11/13,1:13:31 AM,0.83,0.88,0.5
1/11/13,1:13:31 PM,0.77,0.52,0.19
1/11/13,1:43:31 AM,0.85,0.85,0.5
1/11/13,1:43:31 PM,0.83,0.58,0.19
1/11/13,10:13:31 AM,0.5,0.27,0.25
1/11/13,10:13:31 PM,0.27,-0.06,0.14
1/11/13,10:43:31 AM,0.47,0.3,0.22
1/11/13,10:43:31 PM,0.27,-0.03,0.14
1/11/13,11:13:31 AM,0.47,0.33,0.19
1/11/13,11:13:31 PM,0.25,-0.03,0.14
1/11/13,11:43:31 AM,0.58,0.38,0.19
1/11/13,11:43:31 PM,0.22,-0.03,0.14
1/11/13,12:13:31 AM,0.77,0.85,0.47
1/11/13,12:13:31 PM,0.61,0.38,0.19
1/11/13,12:43:31 AM,0.77,0.88,0.5
1/11/13,12:43:31 PM,0.69,0.47,0.19
1/11/13,2:13:31 AM,0.85,0.85,0.5
1/11/13,2:13:31 PM,0.88,0.61,0.16
1/11/13,2:43:31 AM,0.83,0.83,0.5
1/11/13,2:43:31 PM,0.91,0.58,0.16
1/11/13,3:13:31 AM,0.8,0.77,0.5
1/11/13,3:13:31 PM,0.91,0.55,0.16
1/11/13,3:43:31 AM,0.8,0.74,0.5
1/11/13,3:43:31 PM,0.85,0.52,0.16
1/11/13,4:13:31 AM,0.8,0.69,0.5
1/11/13,4:13:31 PM,0.77,0.47,0.16
1/11/13,4:43:31 AM,0.77,0.66,0.47
1/11/13,4:43:31 PM,0.69,0.41,0.16
1/11/13,5:13:31 AM,0.74,0.63,0.47
